Code,Company Name
PRAY,Famon Awal Bros Sedaya 
CBUT,Citra Borneo Utama 
BELI,Global Digital Niaga 
MKTR,Menthobi Karyatama Raya 
OMED,Jayamas Medica Industri 
BSBK,Wulandari Bangun Laksana 
PDPP,Primadaya Plastisindo 
KDTN,Puri Sentul Permai 
ZATA,Bersama Zatta Jaya 
NINE,Techno9 Indonesia 
MMIX,Multi Medika Internasional 
PADA,Personel Alih Daya 
ISAP,Isra Presisi Indonesia 
VTNY,Venteny Fortuna International 
SOUL,Mitra Tirta Buwana 
ELIT,Data Sinergitama Jaya 
BEER,Jobubu Jarum Minahasa 
CBPE,Citra Buana Prasida 
SUNI,Sunindo Pratama 
CBRE,Cakra Buana Resources Energi T
WINE,Hatten Bali 
BMBL,Lavender Bina Cendikia 
PEVE,Penta Valent 
LAJU,Jasa Berdikari Logistics 
FWCT,Wijaya Cahaya Timber 
NAYZ,Hassana Boga Sejahtera 
